title,,authors,journal,doi
Unhealthy Landscapes: Policy Recommendations on Land Use Change and Infectious Disease Emergence,,"Patz, Jonathan A.; Daszak, Peter; Tabor, Gary M.; Aguirre, A. Alonso; Pearl, Mary; Epstein, Jon; Wolfe, Nathan D.; Kilpatrick, A. Marm; Foufopoulos, Johannes; Molyneux, David; Bradley, David J.",Environ Health Perspect,10.1289/ehp.6877
Understanding the Spatial Clustering of Severe Acute Respiratory Syndrome (SARS) in Hong Kong,,"Lai, P.C.; Wong, C.M.; Hedley, A.J.; Lo, S.V.; Leung, P.Y.; Kong, J.; Leung, G.M.",Environ Health Perspect,10.1289/ehp.7117
A combined nucleocapsid vaccine induces vigorous SARS-CD8+ T-cell immune responses,,"Azizi, Ali; Aucoin, Susan; Tadesse, Helina; Frost, Rita; Ghorbani, Masoud; Soare, Catalina; Naas, Turaya; Diaz-Mitoma, Francisco",Genet Vaccines Ther,10.1186/1479-0556-3-7
The Application of the Haddon Matrix to Public Health Readiness and Response Planning,,"Barnett, Daniel J.; Balicer, Ran D.; Blodgett, David; Fews, Ayanna L.; Parker, Cindy L.; Links, Jonathan M.",Environ Health Perspect,10.1289/ehp.7491
"Replicative homeostasis II: Influence of polymerase fidelity on RNA virus quasispecies biology: Implications for immune recognition, viral autoimmunity and other ""virus receptor"" diseases",,"Sallie, Richard",Virol J,10.1186/1743-422x-2-70
Generation of human antibody fragments recognizing distinct epitopes of the nucleocapsid (N) SARS-CoV protein using a phage display approach,,"Flego, Michela; Di Bonito, Paola; Ascione, Alessandro; Zamboni, Silvia; Carattoli, Alessandra; Grasso, Felicia; Cassone, Antonio; Cianfriglia, Maurizio",BMC Infect Dis,10.1186/1471-2334-5-73
Molecular signature of clinical severity in recovering patients with severe acute respiratory syndrome coronavirus (SARS-CoV),,"Lee, Yun-Shien; Chen, Chun-Houh; Chao, Angel; Chen, En-Shih; Wei, Min-Li; Chen, Lung-Kun; Yang, Kuender D; Lin, Meng-Chih; Wang, Yi-Hsi; Liu, Jien-Wei; Eng, Hock-Liew; Chiang, Ping-Cherng; Wu, Ting-Shu; Tsao, Kuo-Chein; Huang, Chung-Guei; Tien, Yin-Jing; Wang, Tzu-Hao; Wang, Hsing-Shih; Lee, Ying-Shiung",BMC Genomics,10.1186/1471-2164-6-132
The effects of injection of bovine vaccine into a human digit: a case report,,"O'Neill, Jennifer K; Richards, Simon W; Ricketts, David M; Patterson, Marc H",Environ Health,10.1186/1476-069x-4-21
Draft versus finished sequence data for DNA and protein diagnostic signature development,,"Gardner, Shea N.; Lam, Marisa W.; Smith, Jason R.; Torres, Clinton L.; Slezak, Tom R.",Nucleic Acids Res,10.1093/nar/gki896
Clinical review: SARS – lessons in disaster management,,"Hawryluck, Laura; Lapinsky, Stephen E; Stewart, Thomas E",Crit Care,10.1186/cc3041
Bench-to-bedside review: Outcome predictions for critically ill patients in the emergency department,,"Hargrove, Jenny; Nguyen, H Bryant",Crit Care,10.1186/cc3518
Critical care during epidemics,,"Rubinson, Lewis; O'Toole, Tara",Crit Care,10.1186/cc3533
Pneumothorax and mortality in the mechanically ventilated SARS patients: a prospective clinical study,,"Kao, Hsin-Kuo; Wang, Jia-Horng; Sung, Chun-Sung; Huang, Ying-Che; Lien, Te-Cheng",Crit Care,10.1186/cc3736
Using autoregressive integrated moving average (ARIMA) models to predict and monitor the number of beds occupied during a SARS outbreak in a tertiary hospital in Singapore,,"Earnest, Arul; Chen, Mark I; Ng, Donald; Sin, Leo Yee",BMC Health Serv Res,10.1186/1472-6963-5-36
A simple and rapid approach for screening of SARS-coronavirus genotypes: an evaluation study,,"Chung, Grace TY; Chiu, Rossa WK; Cheung, Jo LK; Jin, Yongjie; Chim, Stephen SC; Chan, Paul KS; Lo, YM Dennis",BMC Infect Dis,10.1186/1471-2334-5-87
An analysis of the feasibility of short read sequencing,,"Whiteford, Nava; Haslam, Niall; Weber, Gerald; Prügel-Bennett, Adam; Essex, Jonathan W.; Roach, Peter L.; Bradley, Mark; Neylon, Cameron",Nucleic Acids Res,10.1093/nar/gni170
An ontology for immune epitopes: application to the design of a broad scope database of immune reactivities,,"Sathiamurthy, Muthuraman; Peters, Bjoern; Bui, Huynh-Hoa; Sidney, John; Mokili, John; Wilson, Stephen S; Fleri, Ward; McGuinness, Deborah L; Bourne, Philip E; Sette, Alessandro",Immunome Res,10.1186/1745-7580-1-2
Limits to Forecasting Precision for Outbreaks of Directly Transmitted Diseases,,"Drake, John M",PLoS Med,10.1371/journal.pmed.0030003
Bench-to-bedside review: Adjuncts to mechanical ventilation in patients with acute lung injury,,"Rouby, Jean-Jacques; Lu, Qin",Crit Care,10.1186/cc3763
Communication of bed allocation decisions in a critical care unit and accountability for reasonableness,,"Cooper, Andrew B; Joglekar, Amit S; Gibson, Jennifer; Swota, Alissa H; Martin, Douglas K",BMC Health Serv Res,10.1186/1472-6963-5-67
Functional and Genetic Analysis of Coronavirus Replicase-Transcriptase Proteins,,"Sawicki, Stanley G; Sawicki, Dorothea L; Younker, Diane; Meyer, Yvonne; Thiel, Volker; Stokes, Helen; Siddell, Stuart G",PLoS Pathog,10.1371/journal.ppat.0010039
Globalization and risks to health,,"Pang, Tikki; Guindon, G. Emmanuel",EMBO reports,10.1038/sj.embor.7400226
"SARS, Mars and chocolate bars",,"Gannon, Frank",EMBO reports,10.1038/sj.embor.7400326
RNA Viral Community in Human Feces: Prevalence of Plant Pathogenic Viruses,,"Zhang, Tao; Breitbart, Mya; Lee, Wah Heng; Run, Jin-Quan; Wei, Chia Lin; Soh, Shirlena Wee Ling; Hibberd, Martin L; Liu, Edison T; Rohwer, Forest; Ruan, Yijun",PLoS Biol,10.1371/journal.pbio.0040003
Evaluation of potential reference genes in real-time RT-PCR studies of Atlantic salmon,,"Olsvik, Pål A; Lie, Kai K; Jordal, Ann-Elise O; Nilsen, Tom O; Hordvik, Ivar",BMC Mol Biol,10.1186/1471-2199-6-21
Selection of reference genes for quantitative real-time PCR in bovine preimplantation embryos,,"Goossens, Karen; Van Poucke, Mario; Van Soom, Ann; Vandesompele, Jo; Van Zeveren, Alex; Peelman, Luc J",BMC Dev Biol,10.1186/1471-213x-5-27
The New International Health Regulations and the Federalism Dilemma,,"Wilson, Kumanan; McDougall, Christopher; Upshur, Ross",PLoS Med,10.1371/journal.pmed.0030001
Proinflammatory cytokine responses induced by influenza A (H5N1) viruses in primary human alveolar and bronchial epithelial cells,,"Chan, MCW; Cheung, CY; Chui, WH; Tsao, SW; Nicholls, JM; Chan, YO; Chan, RWY; Long, HT; Poon, LLM; Guan, Y; Peiris, JSM",Respir Res,10.1186/1465-9921-6-135
Promoter Variation in the DC-SIGN–Encoding Gene CD209 Is Associated with Tuberculosis,,"Barreiro, Luis B; Neyrolles, Olivier; Babb, Chantal L; Tailleux, Ludovic; Quach, Hélène; McElreavey, Ken; van Helden, Paul D.; Hoal, Eileen G; Gicquel, Brigitte; Quintana-Murci, Lluis",PLoS Med,10.1371/journal.pmed.0030020
Time Course and Cellular Localization of SARS-CoV Nucleoprotein and RNA in Lungs from Fatal Cases of SARS,,"Nicholls, John M; Butany, Jagdish; Poon, Leo L. M; Chan, Kwok H; Beh, Swan Lip; Poutanen, Susan; Peiris, J. S. Malik; Wong, Maria",PLoS Med,10.1371/journal.pmed.0030027
Gene-Specific Countermeasures against Ebola Virus Based on Antisense Phosphorodiamidate Morpholino Oligomers,,"Warfield, Kelly L; Swenson, Dana L; Olinger, Gene G; Nichols, Donald K; Pratt, William D; Blouch, Robert; Stein, David A; Aman, M. Javad; Iversen, Patrick L; Bavari, Sina",PLoS Pathog,10.1371/journal.ppat.0020001
Lung Infection—A Public Health Priority,,"Mizgerd, Joseph P",PLoS Med,10.1371/journal.pmed.0030076
Fierce creatures,,"Breithaupt, Holger",EMBO reports,10.1038/sj.embor.embor949
Bioethical Implications of Globalization: An International Consortium Project of the European Commission,,"Novotny, Thomas E; Mordini, Emilio; Chadwick, Ruth; Pedersen, J. Martin; Fabbri, Fabrizio; Lie, Reidar; Thanachaiboot, Natapong; Mossialos, Elias; Permanand, Govin",PLoS Med,10.1371/journal.pmed.0030043
Public awareness of risk factors for cancer among the Japanese general population: A population-based survey,,"Inoue, Manami; Iwasaki, Motoki; Otani, Tetsuya; Sasazuki, Shizuka; Tsugane, Shoichiro",BMC Public Health,10.1186/1471-2458-6-2
ZCURVE_V: a new self-training system for recognizing protein-coding genes in viral and phage genomes,,"Guo, Feng-Biao; Zhang, Chun-Ting",BMC Bioinformatics,10.1186/1471-2105-7-9
Evidence of host-virus co-evolution in tetranucleotide usage patterns of bacteriophages and eukaryotic viruses,,"Pride, David T; Wassenaar, Trudy M; Ghose, Chandrabali; Blaser, Martin J",BMC Genomics,10.1186/1471-2164-7-8
Sequence specific visual detection of LAMP reactions by addition of cationic polymers,,"Mori, Yasuyoshi; Hirano, Tsuyoshi; Notomi, Tsugunori",BMC Biotechnol,10.1186/1472-6750-6-3
Automated extraction protocol for quantification of SARS-Coronavirus RNA in serum: an evaluation study,,"Chiu, Rossa WK; Jin, Yongjie; Chung, Grace TY; Lui, Wing-bong; Chan, Anthony TC; Lim, Wilina; Dennis Lo, YM",BMC Infect Dis,10.1186/1471-2334-6-20
The Scientific Response to a Pandemic,,"Gronvall, Gigi Kwik; Waldhorn, Richard E; Henderson, D. A",PLoS Pathog,10.1371/journal.ppat.0020009
Identification of Hepta- and Octo-Uridine stretches as sole signals for programmed +1 and −1 ribosomal frameshifting during translation of SARS-CoV ORF 3a variants,,"Wang, Xiaoxing; Wong, Sek-Man; Liu, D. X.",Nucleic Acids Res,10.1093/nar/gkl017
Correlation between the presence of neutralizing antibodies against porcine circovirus 2 (PCV2) and protection against replication of the virus and development of PCV2-associated disease,,"Meerts, Peter; Misinzo, Gerald; Lefebvre, David; Nielsen, Jens; Bøtner, Anette; Kristensen, Charlotte S; Nauwynck, Hans J",BMC Vet Res,10.1186/1746-6148-2-6
Epstein-barr virus induced cellular changes in nasal mucosa,,"Gelardi, Matteo; Tomaiuolo, Marilena; Cassano, Michele; Besozzi, Gaspare; Fiorella, Maria Luisa; Calvario, Agata; Castellano, Maria Antonia; Cassano, Pasquale",Virol J,10.1186/1743-422x-3-6
Virus-mediated autoimmunity in Multiple Sclerosis,,"Grigoriadis, Nikolaos; Hadjigeorgiou, Georgios M",J Autoimmune Dis,10.1186/1740-2557-3-1
"Globalization, migration health, and educational preparation for transnational medical encounters",,"Koehn, Peter H",Global Health,10.1186/1744-8603-2-2
Developing nucleic acid-based electrical detection systems,,"Gabig-Ciminska, Magdalena",Microb Cell Fact,10.1186/1475-2859-5-9
Specific detection of H5N1 avian influenza A virus in field specimens by a one-step RT-PCR assay,,"Ng, Lisa FP; Barr, Ian; Nguyen, Tung; Noor, Suriani Mohd; Tan, Rosemary Sok-Pin; Agathe, Lora V; Gupta, Sanjay; Khalil, Hassuzana; To, Thanh Long; Hassan, Sharifah Syed; Ren, Ee-Chee",BMC Infect Dis,10.1186/1471-2334-6-40
"Using Ontario's ""Telehealth"" health telephone helpline as an early-warning system: a study protocol",,"Rolland, Elizabeth; Moore, Kieran M; Robinson, Victoria A; McGuinness, Don",BMC Health Serv Res,10.1186/1472-6963-6-10
Evolution of the uniquely adaptable lentiviral envelope in a natural reservoir host,,"Demma, LJ; Vanderford, TH; Logsdon, JM; Feinberg, MB; Staprans, SI",Retrovirology,10.1186/1742-4690-3-19
Nonhuman Primate Models for SARS,,"Haagmans, Bart L; Osterhaus, Albert D. M. E",PLoS Med,10.1371/journal.pmed.0030194
Cynomolgus Macaque as an Animal Model for Severe Acute Respiratory Syndrome,,"Lawler, James V; Endy, Timothy P; Hensley, Lisa E; Garrison, Aura; Fritz, Elizabeth A; Lesar, May; Baric, Ralph S; Kulesh, David A; Norwood, David A; Wasieloski, Leonard P; Ulrich, Melanie P; Slezak, Tom R; Vitalis, Elizabeth; Huggins, John W; Jahrling, Peter B; Paragas, Jason",PLoS Med,10.1371/journal.pmed.0030149
Prions Adhere to Soil Minerals and Remain Infectious,,"Johnson, Christopher J; Phillips, Kristen E; Schramm, Peter T; McKenzie, Debbie; Aiken, Judd M; Pedersen, Joel A",PLoS Pathog,10.1371/journal.ppat.0020032
Inhibition of cytokine gene expression and induction of chemokine genes in non-lymphatic cells infected with SARS coronavirus,,"Spiegel, Martin; Weber, Friedemann",Virol J,10.1186/1743-422x-3-17
Heterologous expression of Brucella abortus GroEL heat-shock protein in Lactococcus lactis,,"Miyoshi, Anderson; Bermúdez-Humarán, Luis G; Ribeiro, Luciana A; Le Loir, Yves; Oliveira, Sérgio C; Langella, Philippe; Azevedo, Vasco",Microb Cell Fact,10.1186/1475-2859-5-14
Delaying the International Spread of Pandemic Influenza,,"Cooper, Ben S; Pitman, Richard J; Edmunds, W. John; Gay, Nigel J",PLoS Med,10.1371/journal.pmed.0030212
Identifying strategies to improve access to credible and relevant information for public health professionals: a qualitative study,,"LaPelle, Nancy R; Luckmann, Roger; Simpson, E Hatheway; Martin, Elaine R",BMC Public Health,10.1186/1471-2458-6-89
On pandemics and the duty to care: whose duty? who cares?,,"Ruderman, Carly; Tracy, C Shawn; Bensimon, Cécile M; Bernstein, Mark; Hawryluck, Laura; Shaul, Randi Zlotnik; Upshur, Ross EG",BMC Med Ethics,10.1186/1472-6939-7-5
Insertional protein engineering for analytical molecular sensing,,"Ferraz, Rosa María; Vera, Andrea; Arís, Anna; Villaverde, Antonio",Microb Cell Fact,10.1186/1475-2859-5-15
Immune Protection of Nonhuman Primates against Ebola Virus with Single Low-Dose Adenovirus Vectors Encoding Modified GPs,,"Sullivan, Nancy J; Geisbert, Thomas W; Geisbert, Joan B; Shedlock, Devon J; Xu, Ling; Lamoreaux, Laurie; Custers, Jerome H. H. V; Popernack, Paul M; Yang, Zhi-Yong; Pau, Maria G; Roederer, Mario; Koup, Richard A; Goudsmit, Jaap; Jahrling, Peter B; Nabel, Gary J",PLoS Med,10.1371/journal.pmed.0030177
The interferon gamma gene polymorphism +874 A/T is associated with severe acute respiratory syndrome,,"Chong, Wai Po; Ip, WK Eddie; Tso, Gloria Hoi Wan; Ng, Man Wai; Wong, Wilfred Hing Sang; Law, Helen Ka Wai; Yung, Raymond WH; Chow, Eudora Y; Au, KL; Chan, Eric YT; Lim, Wilina; Peiris, JS Malik; Lau, Yu Lung",BMC Infect Dis,10.1186/1471-2334-6-82
Polyadenylation of genomic RNA and initiation of antigenomic RNA in a positive-strand RNA virus are controlled by the same cis-element,,"van Ooij, Mark J. M.; Polacek, Charlotta; Glaudemans, Dirk H. R. F.; Kuijpers, Judith; van Kuppeveld, Frank J. M.; Andino, Raul; Agol, Vadim I.; Melchers, Willem J. G.",Nucleic Acids Res,10.1093/nar/gkl349
Epicatechins Purified from Green Tea (Camellia sinensis) Differentially Suppress Growth of Gender-Dependent Human Cancer Cell Lines,,"Ravindranath, Mepur H.; Saravanan, Thiruverkadu S.; Monteclaro, Clarence C.; Presser, Naftali; Ye, Xing; Selvan, Senthamil R.; Brosman, Stanley",Evid Based Complement Alternat Med,10.1093/ecam/nel003
Microarray-based identification of antigenic variants of foot-and-mouth disease virus: a bioinformatics quality assessment,,"Martín, Verónica; Perales, Celia; Abia, David; Ortíz, Angel R; Domingo, Esteban; Briones, Carlos",BMC Genomics,10.1186/1471-2164-7-117
Markers of exacerbation severity in chronic obstructive pulmonary disease,,"Franciosi, Luigi G; Page, Clive P; Celli, Bartolome R; Cazzola, Mario; Walker, Michael J; Danhof, Meindert; Rabe, Klaus F; Pasqua, Oscar E Della",Respir Res,10.1186/1465-9921-7-74
In vitro inhibition of human influenza A virus replication by chloroquine,,"Ooi, Eng Eong; Chew, Janet Seok Wei; Loh, Jin Phang; Chua, Robert CS",Virol J,10.1186/1743-422x-3-39
Amphotropic murine leukemia virus is preferentially attached to cholesterol-rich microdomains after binding to mouse fibroblasts,,"Beer, Christiane; Pedersen, Lene",Virol J,10.1186/1743-422x-3-21
Human Monoclonal Antibody Combination against SARS Coronavirus: Synergy and Coverage of Escape Mutants,,"ter Meulen, Jan; van den Brink, Edward N; Poon, Leo L. M; Marissen, Wilfred E; Leung, Cynthia S. W; Cox, Freek; Cheung, Chung Y; Bakker, Arjen Q; Bogaards, Johannes A; van Deventer, Els; Preiser, Wolfgang; Doerr, Hans Wilhelm; Chow, Vincent T; de Kruif, John; Peiris, Joseph S. M; Goudsmit, Jaap",PLoS Med,10.1371/journal.pmed.0030237
Selection of a set of reliable reference genes for quantitative real-time PCR in normal equine skin and in equine sarcoids,,"Bogaert, Lies; Van Poucke, Mario; De Baere, Cindy; Peelman, Luc; Gasthuys, Frank; Martens, Ann",BMC Biotechnol,10.1186/1472-6750-6-24
Combined fluticasone propionate and salmeterol reduces RSV infection more effectively than either of them alone in allergen-sensitized mice,,"Singam, Rajeswari; Jena, Prasanna K; Behera, Sumita; Hellermann, Gary R; Lockey, Richard F; Ledford, Dennis; Mohapatra, Shyam S",Virol J,10.1186/1743-422x-3-32
"Antibiotic resistance as a global threat: Evidence from China, Kuwait and the United States",,"Zhang, Ruifang; Eggleston, Karen; Rotimi, Vincent; Zeckhauser, Richard J",Global Health,10.1186/1744-8603-2-6
The basic principles of migration health: Population mobility and gaps in disease prevalence,,"Gushulak, Brian D; MacPherson, Douglas W",Emerg Themes Epidemiol,10.1186/1742-7622-3-3
Quantitative prediction of mouse class I MHC peptide binding affinity using support vector machine regression (SVR) models,,"Liu, Wen; Meng, Xiangshan; Xu, Qiqi; Flower, Darren R; Li, Tongbin",BMC Bioinformatics,10.1186/1471-2105-7-182
Silencing Viral Infection,,"Dykxhoorn, Derek M; Lieberman, Judy",PLoS Med,10.1371/journal.pmed.0030242
Differentially profiling the low-expression transcriptomes of human hepatoma using a novel SSH/microarray approach,,"Pan, Yi-Shin; Lee, Yun-Shien; Lee, Yung-Lin; Lee, Wei-Chen; Hsieh, Sen-Yung",BMC Genomics,10.1186/1471-2164-7-131
Design of microarray probes for virus identification and detection of emerging viruses at the genus level,,"Chou, Cheng-Chung; Lee, Te-Tsui; Chen, Chun-Houh; Hsiao, Hsiang-Yun; Lin, Yi-Ling; Ho, Mei-Shang; Yang, Pan-Chyr; Peck, Konan",BMC Bioinformatics,10.1186/1471-2105-7-232
"From Functional Genomics to Functional Immunomics: New Challenges, Old Problems, Big Rewards",,"Braga-Neto, Ulisses M; Marques, Ernesto T. A",PLoS Comput Biol,10.1371/journal.pcbi.0020081
The role of single N-glycans in proteolytic processing and cell surface transport of the Lassa virus glycoprotein GP-C,,"Eichler, Robert; Lenz, Oliver; Garten, Wolfgang; Strecker, Thomas",Virol J,10.1186/1743-422x-3-41
"The synergistic effect of IFN-α and IFN-γ against HSV-2 replication in Vero cells is not interfered by the plant antiviral 1-cinnamoyl-3, 11-dihydroxymeliacarpin",,"Petrera, Erina; Coto, Celia E",Virol J,10.1186/1743-422x-3-45
CD147 overexpression on synoviocytes in rheumatoid arthritis enhances matrix metalloproteinase production and invasiveness of synoviocytes,,"Zhu, Ping; Lu, Ning; Shi, Zhan-guo; Zhou, Jun; Wu, Zhen-biao; Yang, Yong; Ding, Jin; Chen, Zhi-nan",Arthritis Res Ther,10.1186/ar1899
